active_cells,active_edges,average_path_length,longest_path,average_branching_factor,average_merge_factor
16,23,1.625,3,3.3333333333333335,1.4285714285714286
21,60,3.1904761904761907,6,3.357142857142857,2.473684210526316
23,49,3.4782608695652173,6,4.090909090909091,2.3684210526315788
18,28,2.2222222222222223,4,3.0,1.25
21,80,3.6666666666666665,7,5.133333333333334,4.277777777777778
23,72,4.0,8,3.923076923076923,2.55
27,89,3.3703703703703702,6,4.9411764705882355,3.652173913043478
21,70,2.619047619047619,5,4.071428571428571,3.3529411764705883
19,34,3.6315789473684212,5,3.75,1.7647058823529411
17,23,1.5294117647058822,3,3.6666666666666665,1.5714285714285714
25,72,3.88,6,5.230769230769231,3.090909090909091
26,95,3.3846153846153846,7,4.157894736842105,3.590909090909091
19,65,3.263157894736842,7,3.6,3.6
21,58,3.4761904761904763,6,4.076923076923077,2.9444444444444446
16,29,2.25,4,3.4,1.7
16,34,2.4375,4,2.727272727272727,2.3076923076923075
21,32,3.9523809523809526,6,5.0,1.5789473684210527
23,66,4.260869565217392,8,4.153846153846154,2.5714285714285716
23,69,3.4347826086956523,6,3.8333333333333335,2.4210526315789473
27,90,3.3703703703703702,6,5.0,3.6956521739130435
18,26,2.1666666666666665,5,2.5,1.5
22,62,3.1818181818181817,6,3.5,2.45
20,33,3.95,6,5.166666666666667,1.7222222222222223
23,91,3.4782608695652173,6,5.0588235294117645,4.3
24,67,2.7916666666666665,6,3.909090909090909,2.5294117647058822
27,103,3.4074074074074074,6,4.85,4.217391304347826
27,130,3.7777777777777777,7,5.714285714285714,5.217391304347826
19,32,3.8421052631578947,6,5.0,1.7647058823529411
25,121,3.28,6,5.55,5.285714285714286
29,120,3.7586206896551726,7,5.523809523809524,4.64
18,31,3.9444444444444446,6,4.833333333333333,1.8125
20,53,4.05,8,3.769230769230769,2.7222222222222223
30,103,3.1666666666666665,5,5.2105263157894735,3.8076923076923075
26,130,3.730769230769231,7,5.65,5.136363636363637
25,76,2.68,5,4.235294117647059,3.4285714285714284
22,48,3.4545454545454546,6,4.4,2.4444444444444446
19,25,1.3157894736842106,2,5.0,1.6666666666666667
22,28,1.2727272727272727,2,5.0,1.6666666666666667
15,33,3.7333333333333334,6,3.75,2.3076923076923075
21,66,3.4285714285714284,6,4.909090909090909,3.176470588235294
22,75,3.272727272727273,6,5.333333333333333,3.5555555555555554
22,80,3.1818181818181817,6,4.266666666666667,3.3684210526315788
21,54,2.2857142857142856,4,2.769230769230769,2.4
19,59,2.9473684210526314,5,4.181818181818182,3.2857142857142856
20,65,3.6,7,3.625,3.2222222222222223
22,41,1.6818181818181819,4,3.8,1.7272727272727273
24,89,4.208333333333333,8,5.0588235294117645,4.095238095238095
23,44,2.217391304347826,4,5.6,2.1538461538461537
19,32,2.1052631578947367,3,6.0,1.6
21,56,4.380952380952381,8,3.857142857142857,2.8421052631578947
29,102,3.9310344827586206,7,6.466666666666667,3.88
22,76,2.8636363636363638,5,4.285714285714286,3.3333333333333335
26,88,2.8461538461538463,5,4.882352941176471,3.772727272727273
20,30,4.05,6,4.666666666666667,1.5555555555555556
29,109,3.9310344827586206,7,5.777777777777778,4.16
22,75,2.6363636363636362,5,4.176470588235294,3.736842105263158
20,31,4.05,6,4.833333333333333,1.6111111111111112
22,65,2.5,4,4.333333333333333,2.888888888888889
25,77,2.68,5,5.214285714285714,3.4761904761904763
23,76,2.6956521739130435,5,4.235294117647059,3.6
22,75,2.6363636363636362,5,4.176470588235294,3.736842105263158
24,73,2.7916666666666665,5,4.6,3.45
22,78,3.227272727272727,6,4.714285714285714,3.6666666666666665
27,94,3.925925925925926,7,5.0625,3.5217391304347827
19,29,3.9473684210526314,6,4.5,1.588235294117647
25,66,3.56,6,4.5,2.8636363636363638
21,32,4.142857142857143,6,5.0,1.5789473684210527
24,104,3.6666666666666665,7,5.5,4.95
23,57,2.739130434782609,6,3.7777777777777777,2.2666666666666666
27,102,3.3703703703703702,6,5.105263157894737,4.217391304347826
28,117,3.857142857142857,7,5.35,4.458333333333333
